년월,국가명,국가코드,방문자수
201601,미  국,275,55739
201602,미  국,275,50705
201603,미  국,275,68719
201604,미  국,275,81439
201605,미  국,275,80489
201606,미  국,275,88276
201607,미  국,275,78526
201608,미  국,275,69434
201609,미  국,275,75736
201610,미  국,275,82885
201611,미  국,275,67641
201612,미  국,275,66597
201701,미  국,275,57212
201702,미  국,275,52732
201703,미  국,275,72477
201704,미  국,275,83485
201705,미  국,275,76347
201706,미  국,275,85955
201707,미  국,275,82472
201708,미  국,275,71496
201709,미  국,275,70933
201710,미  국,275,80000
201711,미  국,275,69009
201712,미  국,275,66763
201801,미  국,275,59895
201802,미  국,275,66049
201803,미  국,275,80079
201804,미  국,275,89209
201805,미  국,275,84601
201806,미  국,275,94742
201807,미  국,275,90270
201808,미  국,275,77319
201809,미  국,275,78826
201810,미  국,275,98103
201811,미  국,275,77876
201812,미  국,275,71023
